epigenome,epigenome_name,state,state_label,case_count,case_pct,ctrl_count,ctrl_pct,odds_ratio,pvalue,n_case_total,n_ctrl_total,fdr
E068,Anterior Caudate,9_Het,Heterochromatin,72,1.0116622172263594,36,1.262272089761571,0.7994322214336409,0.2847833112983869,7117,2852,0.6843176987365572
E069,Cingulate Gyrus,10_TssBiv,Bivalent/Poised TSS,11,0.1545595054095827,5,0.1753155680224404,0.8814241486068112,0.7861573589417911,7117,2852,0.9997870760455386
E069,Cingulate Gyrus,12_EnhBiv,Bivalent Enhancer,3,0.04215259238443164,2,0.07012622720897616,0.6009277481023334,0.6283630162964069,7117,2852,0.8752199155557095
E069,Cingulate Gyrus,13_ReprPC,Repressed PolyComb,19,0.26696641843473373,7,0.24544179523141654,1.0879322143058408,1.0,7117,2852,1.0
E069,Cingulate Gyrus,14_ReprPCWk,Weak Repressed PolyComb,410,5.7608542925389905,101,3.541374474053296,1.6650403671647915,3.4850733353220883e-06,7117,2852,0.00020387679011634214
E069,Cingulate Gyrus,15_Quies,Quiescent/Low,2730,38.358859069832796,1245,43.65357643758766,0.8032329912309369,1.136988983037811e-06,7117,2852,0.00013302771101542386
E069,Cingulate Gyrus,1_TssA,Active TSS,84,1.180272586764086,40,1.402524544179523,0.8396416891795819,0.36896010097161436,7117,2852,0.685211616090141
E069,Cingulate Gyrus,2_TssAFlnk,Flanking Active TSS,77,1.0819165378670788,27,0.9467040673211781,1.1443865740740742,0.5871851793929456,7117,2852,0.8378129998655444
E069,Cingulate Gyrus,3_TxFlnk,Transcr. at gene 5'/3',9,0.12645777715329493,1,0.03506311360448808,3.609876195835678,0.2994023485432067,7117,2852,0.6843176987365572
E069,Cingulate Gyrus,4_Tx,Strong Transcription,386,5.423633553463538,198,6.9424964936886395,0.7686762139295196,0.003980953803522315,7117,2852,0.03881429958434258
E069,Cingulate Gyrus,5_TxWk,Weak Transcription,2568,36.08261908107349,923,32.3632538569425,1.17980330704997,0.0004509170832316899,7117,2852,0.008792883123017953
E069,Cingulate Gyrus,6_EnhG,Genic Enhancers,113,1.5877476464802587,34,1.1921458625525947,1.3371938724090435,0.16741853646853105,7117,2852,0.5877488790064228
E069,Cingulate Gyrus,7_Enh,Enhancers,672,9.442180694112688,249,8.730715287517532,1.0899866338900988,0.283943579180559,7117,2852,0.6843176987365572
E069,Cingulate Gyrus,8_ZNF/Rpts,ZNF Genes & Repeats,7,0.09835604889700718,6,0.21037868162692847,0.46699484294421,0.21550482720819553,7117,2852,0.6003348757942589
E069,Cingulate Gyrus,9_Het,Heterochromatin,28,0.3934241955880287,14,0.4908835904628331,0.8006771053745239,0.4962329486025213,7117,2852,0.8294179283784999
E071,Hippocampus Middle,10_TssBiv,Bivalent/Poised TSS,9,0.12645777715329493,5,0.1753155680224404,0.720962296004502,0.5598905398711955,7117,2852,0.8336905896152813
E071,Hippocampus Middle,11_BivFlnk,Flanking Bivalent TSS/Enh,2,0.02810172825628776,1,0.03506311360448808,0.8014054813773718,1.0,7117,2852,1.0
E071,Hippocampus Middle,12_EnhBiv,Bivalent Enhancer,7,0.09835604889700718,2,0.07012622720897616,1.4029535864978904,1.0,7117,2852,1.0
E071,Hippocampus Middle,13_ReprPC,Repressed PolyComb,8,0.11240691302515105,7,0.24544179523141654,0.4573679239595684,0.1508151917650765,7117,2852,0.5877488790064228
E071,Hippocampus Middle,14_ReprPCWk,Weak Repressed PolyComb,271,3.8077841787269917,97,3.4011220196353436,1.1243001406495177,0.34741297996666304,7117,2852,0.6843176987365572
E071,Hippocampus Middle,15_Quies,Quiescent/Low,2686,37.74062104819446,1137,39.866760168302946,0.9143404180230951,0.050012350439796585,7117,2852,0.3079707895503263
E071,Hippocampus Middle,1_TssA,Active TSS,136,1.910917521427568,48,1.6830294530154277,1.1380413503318532,0.5100917125538629,7117,2852,0.8336905896152813
E071,Hippocampus Middle,2_TssAFlnk,Flanking Active TSS,94,1.320781228045525,36,1.262272089761571,1.0469726454348411,0.9221984436134508,7117,2852,1.0
E071,Hippocampus Middle,3_TxFlnk,Transcr. at gene 5'/3',7,0.09835604889700718,3,0.10518934081346423,0.9349742147210501,1.0,7117,2852,1.0
E071,Hippocampus Middle,4_Tx,Strong Transcription,462,6.491499227202473,219,7.678821879382889,0.8346428167100646,0.035027089566689346,7117,2852,0.24106879290015606
