gene,N,spearman_r_rna_seq,spearman_p_rna_seq,pb_r_rna_seq,pb_p_rna_seq,spearman_r_cage,spearman_p_cage,pb_r_cage,pb_p_cage,spearman_r_chip_histone,spearman_p_chip_histone,pb_r_chip_histone,pb_p_chip_histone,spearman_r_dnase,spearman_p_dnase,pb_r_dnase,pb_p_dnase,n_sig_modalities
ADAM10,185,-0.0007,0.9926241274356664,0.0187,0.8000903174364341,-0.0668,0.36653701626239554,0.0086,0.9070613363158808,0.0367,0.6196648241416409,0.0656,0.3746942520838588,-0.0038,0.9587152956297778,0.004,0.9571020898845528,0
TNIP1,76,-0.0008,0.9948374585900935,0.2279,0.047734105882646045,0.1866,0.10661432381508902,0.2479,0.030833844990187327,-0.1094,0.34698955582884494,-0.122,0.2939575071102886,0.0658,0.572113667420267,0.2217,0.05426919087551116,0
HLA-DQA1,30,-0.0095,0.9601394261314744,0.1962,0.29876395779335196,-0.1679,0.375226694809736,0.1884,0.3186377444386713,-0.1691,0.3718165789069463,-0.0248,0.8963340236286346,0.2932,0.11585633425423912,0.2046,0.2781436342415181,0
PSEN1,154,-0.0288,0.7227191368529715,-0.1117,0.16787815624523122,-0.0554,0.49522077510680573,-0.019,0.815329885250135,0.0331,0.6839729514197757,0.0562,0.48901534468772845,0.1151,0.1553528218010188,-0.0343,0.6725762127324709,0
IL34,189,-0.0295,0.6868067851070464,-0.0634,0.385777997071915,0.0283,0.6988236929338212,-0.0669,0.3603384006650694,0.1239,0.08934467003501054,0.0906,0.21511297463569162,0.0557,0.44675568885019534,-0.063,0.38937185052427903,0
MME,195,-0.0358,0.6188481443499664,-0.0769,0.28519022681894546,-0.029,0.6868583677775753,-0.0332,0.6445068871863874,-0.0596,0.4080907625695114,-0.0881,0.220886375594645,0.2069,0.003708848049181687,-0.0145,0.8404073249344666,1
MS4A4A,115,-0.0387,0.6811356715377331,-0.1001,0.287232916636438,-0.1235,0.18844707434399485,-0.0742,0.4304921485817135,0.026,0.7830939298316182,-0.0744,0.4292043817541551,0.059,0.5312546089603458,-0.1126,0.23098156383773677,0
MYO15A,52,-0.0582,0.6818548288460576,0.105,0.45887288466918597,0.1727,0.22071483633834937,0.1126,0.4265691456814289,0.1156,0.4144800197244759,0.1292,0.36118833692106705,-0.0612,0.6664117588973664,0.1074,0.44860343540967507,0
TPCN1,110,-0.067,0.48700476618648114,0.0139,0.8855335066227016,0.0838,0.38433782479758893,0.0087,0.9279500561113588,-0.0307,0.7502772096278463,-0.0374,0.6980128207058093,0.0702,0.4659688075671057,0.0179,0.8526023699699496,0
CTSH,54,-0.0787,0.5717200540597505,-0.0308,0.8247858005860742,-0.1532,0.2688642844026745,-0.0649,0.6412183114500479,0.0328,0.8139449274465761,0.0458,0.7423305434779013,-0.0584,0.674674368379298,-0.0807,0.5619262536040713,0
CASS4,71,-0.0853,0.4792231464827813,-0.0182,0.8799896810389141,-0.0269,0.8240786905883568,-0.0069,0.954595776274541,0.0921,0.44495482185236,0.0614,0.6107555377710626,0.1357,0.2591767273078684,-0.0054,0.9640780435484614,0
NCK2,178,-0.0892,0.23622965184765327,0.0284,0.7062968372262767,0.0189,0.8023879376466324,-0.0222,0.7688201722557987,0.0981,0.19272330920493863,0.0068,0.9283329184434477,-0.0877,0.24466688422083177,-0.0463,0.5397018273952406,0
CASP7,38,-0.0993,0.5530196414317048,0.1573,0.3457059688519551,0.3801,0.018571519074478432,0.1754,0.29211964994959355,0.1032,0.5374183794983436,0.1451,0.384604034115868,0.1334,0.42478881821854253,0.1673,0.31543699174564316,1
APH1B,33,-0.1019,0.5723935734157146,-0.1454,0.4196139508377785,-0.1294,0.47291891150651644,-0.1919,0.2847819937431326,0.2292,0.1994566689469035,0.2534,0.15473893002566894,0.1138,0.5281647124434159,-0.1752,0.3295898293035281,0
PTK2B,171,-0.1051,0.17131281515559746,-0.062,0.42032673644452995,-0.0667,0.3860342663398457,-0.0949,0.21719286216523565,-0.0192,0.8033545379733372,-0.0155,0.8402870700238625,-0.0825,0.2835020430247679,-0.0444,0.5638360773753065,0
RIN3,266,-0.1129,0.06587186056285035,-0.0415,0.5006920557416631,0.0076,0.9011816319802302,-0.0186,0.762086603509029,-0.1387,0.023624355313431936,-0.134,0.028913093155467383,-0.1632,0.007632649020764838,-0.0182,0.7677288777686663,2
CD2AP,105,-0.1295,0.1880278415703177,-0.1839,0.06042278424976589,-0.0381,0.6999228963853243,-0.0612,0.5351904751491284,0.0901,0.3605945670391246,0.1067,0.27870758080245833,-0.0764,0.43878350232378616,-0.1121,0.2550130601086673,0
SPPL2A,51,-0.1351,0.344424538180917,-0.011,0.9390293452970343,-0.1061,0.4586427710503822,0.0426,0.7666991705513152,0.0069,0.9616606046780335,0.0593,0.6795194635059135,0.2396,0.09032010579205933,0.0633,0.6590952847034742,0
TMEM106B,42,-0.1613,0.30749318772733913,-0.1339,0.3978775424264263,0.0252,0.8740152133190326,-0.0724,0.6484801518377356,0.0068,0.9657525696931735,0.0128,0.9357111462159087,-0.118,0.45658283045750225,-0.0621,0.6959065789792048,0
MAF,18,-0.1629,0.5183195892793102,-0.2695,0.27952853672423444,-0.4375,0.06941611909315987,-0.3008,0.22523488313789528,-0.1406,0.5777761869576603,-0.3151,0.20278685191423848,-0.0696,0.7837662488947937,-0.312,0.20757517071146236,0
TSPOAP1,32,-0.1796,0.32530861542602996,-0.1796,0.3253086154260295,0.0791,0.6671264855227965,-0.1745,0.33938091278331334,-0.0371,0.8403285966088118,-0.105,0.5674752851103416,-0.0141,0.93890617891093,-0.1775,0.3311606715610438,0
TSPAN14,147,-0.1799,0.029228141390049235,-0.0333,0.688547055437582,-0.0312,0.7071147982934824,0.0204,0.8058215380935683,0.1314,0.11257399326848457,0.0932,0.2615447886786482,0.1186,0.15257808956157964,0.0258,0.7565494053826641,1
SCIMP,50,-0.2,0.1637530812454175,-0.1757,0.22231590166538465,-0.1273,0.3781592402920352,-0.1726,0.23077281291922475,0.0091,0.9497927362818076,-0.0657,0.6505015116811719,0.0554,0.7021330083901547,-0.1613,0.26320044209025734,0
PICALM,88,-0.2282,0.032497352806843606,-0.0426,0.693751365767375,0.0362,0.7374019630142272,-0.0723,0.503223524203985,-0.0128,0.9059650932105142,-0.1136,0.29177659141044393,-0.0415,0.7013281908553356,-0.0561,0.6039546114273231,1
WDR81,25,-0.2823,0.17153745720661587,-0.241,0.2457894101586246,-0.2299,0.2688862176619288,-0.2014,0.33428783733919815,-0.0629,0.7650530638454707,-0.1438,0.492889682743766,-0.4208,0.036184277027929514,-0.4944,0.011991783847727295,1
EED,55,-0.3011,0.025511461659759763,-0.0453,0.7426495365794852,0.0061,0.9646808383673031,-0.0359,0.794780320653815,0.1646,0.2298554508832501,0.1262,0.3586846897256395,-0.1871,0.17142034877158852,-0.0606,0.6602398624196472,1
CLU,31,-0.3276,0.07201753003397753,-0.7768,2.782873563303612e-07,-0.3077,0.09221846843372078,-0.8635,4.0490967352020883e-10,-0.2975,0.104052908816341,-0.4681,0.007921857420670659,-0.2938,0.10867744014796299,-0.6654,4.416236259903426e-05,0
IDUA,30,-0.4163,0.022107048596062846,-0.4199,0.020878044293915883,0.0821,0.666068622980783,0.0905,0.6345032018691386,-0.0395,0.8356629387766524,0.0091,0.9617506655525706,-0.2297,0.22201703399423942,-0.0671,0.7244502146596017,1
SPI1,18,-0.4217,0.0813404295791295,-0.544,0.019610033416207873,-0.2381,0.3414577914875553,-0.5398,0.020759574101961702,-0.2282,0.3623812919260677,-0.5365,0.021714377159858203,0.0445,0.8608225781792738,-0.5374,0.021445158177699743,0
TREM2,14,,,,,,,,,,,,,,,,,0
